0	8	40	50	90	100	110	111	245	246	300	500	505	600	610	650	700	710	711
02518cam a2200481Ii 4500	140322t20142014enka\\\\\bc\\\000\0deng\d	YNKengrdaYNKCDXERASAYDXCPBTCTABDXMZAUABGZNOCLCFZCUCIAOCLCODLCUV0JPGOCLCQGBVCPOCLCNGULOCLCO	N6549.M334A4x 2014		"MacLeod, Myfanwy,artist."			"Myfanwy MacLeod, or, There and back again /curated by Grant Arnold and Cassandra Getty ; texts by Grant Arnold, JoseÌ¹e Drouin-Brisbois, Cassandra Getty, Joseph Monteyne, the Music Appreciation Society."	Myfanwy MacLeod;There and back again	127 pages :illustrations (chiefly color) ;25 cm	"""Published in conjunction with ... an exhibition organized by Museum London and the Vancouver Art Gallery ... presented at Museum London from April 20 to September 23, 2013 and at Vancouver Art Gallery from March 8 to June 8, 2014""--Colophon."	"Machine generated contents note: Then As It Was, Then Again It Shall Be: An Introduction / Cassandra Getty -- Dear Myfanwy, Everything Seems Empty Without You / Josee Drouin-Brisebois -- In The Absence Of Presence / Joseph Monteyne -- If There's A Bustle In Your Hedgerow: An Essay On Listening To Music / The Music Appreciation Society -- Specific Objects, Profane Illumination / Grant Arnold."	"MacLeod, Myfanwy--Exhibitions.;MacLeod, Myfanwy."		"Art, Canadian--21st century--Exhibitions."	"Arnold, Grant,writer of supplementary textual content.;Getty, Cassandra,1971-writer of supplementary textual content.;Drouin-Brisebois, JoseÌ¹e,1972-author.;Monteyne, Joseph,author."	"Music Appreciation Society,author.;Museum London (London, Ont.),host institution.;Vancouver Art Gallery,host institution."	
03182cam a2200397Ii 4500	150930t20162016quc\\\\\\b\\\\001\0\eng\\	NLCengrdaNLCOCLCOOCLCFOCLCOBDXYDXCPBTCTACDXOCLCQNKMVP@OCLCOGZMCOOLTSCAOCLDEBBGOCLCO	PR428.P76B44 2016		"Beecher, Donald,author."			Adapted brains and imaginary worlds :cognitive science and the literature of the Renaissance /Donald Beecher.		"viii, 484 pages ;23 cm"					"English literature--Early modern, 1500-1700--History and criticism.;Cognition in literature.;Emotions in literature.;Memory in literature.;Self in literature.;Cognitive science."			
01632cam a2200373 i 4500	151113t20162016enka\\\\\bc\\\000\0\eng\c	ERASAengrdaERASADLCYDXCPCDXS3OOSUBDXOCLCFDEBSZ	N6973.B68A4 2016		"Serres, Karen,author."			Bruegel in black and white :three Grisailles reunited /Karen Serres ; with contributions by Dominique Allart [and four others].		60 pages :illustrations (some color) ;21 cm			"Bruegel, Pieter,--approximately 1525-1569--Exhibitions."		"Painting, Dutch--16th century--Exhibitions."	"Allart, Dominique,contributor."	"Courtauld Institute Galleries,host institution."	
02231cam a2200373Ii 4500	150722t20152015enka\\\\\b\\\\001\0deng\d	NLEengrdaNLEOCLCOYDXCPBTCTABDXCDXCUDOCLCFUABS3OOUNVLBOCLCQDEBBGOCL	PN1998.3.K54F79 2015		"Frykholm, Joel,1977-author."			George Kleine and American cinema :the movie business and film culture in the silent era /Joel Frykholm.		"viii, 248 pages :illustrations ;24 cm."			"Kleine, George."		Motion picture producers and directors--United States.;Motion picture industry--United States--History--20th century.			
01345cam a2200373Ii 4500	160211t20151993ne\ab\\\\b\\\\001\0\fre\d	AUXAMengrdaAUXAMYDXCPCDXOCLCQCDXOCLCF	BL813.E64F75 2015		"Friesen, Steven J.,author."			"Twice Neokoros :Ephesus, Asia, and the cult of the Flavian imperial family /by Steven J. Friesen."		"xvi, 237 pages :illustrations, maps ;25 cm"	"""This paperback was originally published in hardback as Volume 116 in the series Religions in the Graeco-Roman World.""--Title page verso."		Flavian family.		Emperor worship--Rome.			
01898cam a22004337i 4500	151014t20162016miu\\\\\\b\\\s000\p\eng\d	GMUengrdaGMUDLCYDXCPAUMZCUOCLCFCUVRRRTJCBTCTABDXUABOCLCQ	PJ5042.K59 2016		"Kleiman, Anne,1909-2011,author."			Women's Hebrew poetry on American shores :poems /by Anne Kleiman and Annabelle Farmelant ; translated by Adriana X. Jacobs and Yosefa Raz ; edited by Shachar Pinsker.		"x, 223 pages ;23 cm"					Hebrew poetry.;American literature--Jewish authors.	"FarmilantÌĐ, HÌĐanah,author.;Pinsker, Shachar,editor.;Jacobs, Adriana Ximena,1976-translator.;Raz, Yosefa,1975-translator."		
02260cam a2200421Ii 4500	160302t20162016enka\\\\\b\\\\001\0\eng\d	EAUengrdaEAUOQXBTCTABDXYDXCPNLEOCLCFUABDGUGBVCPOCLVP@DCK	JA75.8.D625 2016;GE170.D62 2016;GE195		"Dobson, Andrew,author."			Environmental politics :a very short introduction /Andrew Dobson.		133 pages :illustrations ;18 cm.		"Origins -- Ideas -- Movements, parties, policies -- Local and global, North and South -- Environmental futures."			Political ecology.;Green movement.;Environmentalism.;Environmental policy.			
01323cam a2200349Ia 4500	150922t20152015stk\\\\\\b\\\\001\0\eng\d	YDXCPengYDXCPBDXCDXOCLCOCOOOCLCFOCLCOGZMOCLCOLTSCAOCLBTCTA	PR9489.5.N5 2015		"NiÌ¹ FhlathuÌ¹in, MaÌ¹ire,author."			British India and Victorian literary culture /MaÌ¹ire NiÌ¹ FhlathuÌ¹in.		"vii, 214 pages ;24 cm."					Anglo-Indian literature--19th century--History and criticism.;British--India--History--19th century.;Colonists--India--History--19th century.;Colonists in literature.			
01307cam a2200361 i 4500	131230s2014\\\\nyu\\\\\\b\\\\001\0\eng\\	DLCengrdaDLCOCLCFIG#OCLCQ	B1334.K35 2014		"Kail, P. J. E.(Peter J. E.)"			Berkeley's A treatise concerning the principles of human knowledge :an introduction /P J E Kail.		"x, 159 pages ;22 cm."			"Berkeley, George,--1685-1753.--Treatise concerning the principles of human knowledge."		"Knowledge, Theory of.;Idealism."			
01972cam a22004217i 4500	150514t20162016nyuaf\\\\b\\\\001\0\eng\d	BTCTAengrdaBTCTADLCBDXERASAYDXCPQCLYAMCBYEUWOCLCFVP@OCLNLECHVBKYDXOCLCOOCLCADGUOCLCO	QL73.G7G75 2016		"Grigson, Caroline,1935-author."			"Menagerie :the history of exotic animals in England, 1100-1837 /Caroline Grigson."		"xvi, 349 pages, 8 unnumbered pages of plates :illustrations (some color) ;24 cm"		"Foreword / by Juliet Clutton-Brock -- The Normans to the Tudors -- The Stuarts, 1603-1688 -- William and Mary to George II, 1688-c.1760 -- George III, c.1760-1811 -- George IV as Regent and King, c.1811-1830 -- William IV, c.1830-1837 -- Conclusions."			Menageries--England--History.;Exotic animals--England--History.;Captive wild animals--England--History.;Wild animal collecting--England--History.			
03287cam a2200409 a 4500	101026s2011\\\\caua\\\\\b\\\\000\0\eng\c	BTCTAengBTCTAYDXCPERASAMYGVP@UKMGBCDXMIXCIANLEOSUBDXSTFTULIBOCLCFNYWWBOCLCQDLCSHSOCLCQOCL	NA209.5.U813 2011					"Utopie :texts and projects, 1967-1978 /edited by Craig Buckley and Jean-Louis Violeau ; translated by Jean-Marie Clarke."		323 pages :illustrations (some color) ;24 cm.		"Introduction: The echo of utopia / Craig Buckley -- Outlines of urbanism as a critical system of thought / ReneÌ¹ Lourau -- Haussmann's nightmare / Unsigned -- Art? ...! / Antoine Stinco -- Notes on Marxism and aesthetics / ReneÌ¹ Lourau -- Dialectical utopia / Unsigned -- Repression / Hubert Tonka & ReneÌ¹ Lourau -- Becoming outdated / Jean Aubert -- The ephemeral / Jean Baudrillard -- Paper cities / Jean-Paul Jungmann -- Who will look beyond the strict limits of the page / Isabelle Auricoste -- The logic of urbanism / Utopie -- Architecture as a theoretical problem / Utopie (Tonka, Jungmann, Aubert) -- On the participation of the whores nature and culture / Isabelle Auricoste & Charles Goldblum -- Critique of urban ideology / Hubert Tonka -- From urban science to urban strategy / Henri Lefebvre -- Technics as social practice / Jean Baudrillard -- The technical production of the imaginary / Isabelle Auricoste -- Excerpts from The ideology of technology and ideological practice / Charles Goldblum, Jean-Paul Jungmann & Antoine Stinco -- Utopia is not written in the future tense ; The money of urbanism / Utopie -- The mystique of environment / Unsigned -- Requiem for the media / Jean Baudrillard -- Codicil / Unsigned -- The mirror of production / Jean Baudrillard -- There's no more government ; Revolutionary exoticism ; Satellites and ideograms ; War scenario / Unsigned -- We are all stuffed, like animals / GeÌ¹rard Hubert -- Afterword: Utopie : at the beginnning and beyond the end / Jean-Louis Violeau."			Visionary architecture--France--History--20th century.;Architects--France--History--20th century.;Sociologists--France--History--20th century.;Protest movements--France--History--20th century.	"Buckley, Craig.;Violeau, Jean-Louis."		
03175cam a2200361Ii 4500	150701t20162016enkah\\\\b\\\\001\0\eng\d	YDXCPengrdaYDXCPBTCTAOCLCQBDXOCLCOERASAVGMOCLCFOCLCOPITOCLCAZCUOCLCQQCLCOOUKDBKOCLOCLCODEBBGOCLCOCHVBKOCLCO	PR1203.A93 2016					The Auchinleck manuscript :new perspectives /edited by Susanna Fein.		"xi, 253 pages :illustrations, facsimiles ;25 cm"	"""A York Medieval Press publication in association with The Boydell Press, an imprint of Boydell & Brewer Ltd. ... and with the Centre for Medieval Studies, University of York""--Title page verso."	"The Auchinleck Manuscript forty years on /Derek Pearsall --Codicology and translation in the early sections of the Auchinleck Manuscript /A.S.G. Edwards --The Auchinleck Adam and Eve: an exemplary family story /Cathy Hume --A failure to communicate: multilingualism in the prologue to Of Arthour and of Merlin /Patrick Butler --Scribe 3's literary project: pedagogies of reading in Auchinleck's Booklet 3 /Emily Runde --Absent presence: Auchinleck and Kyng Alisaunder /Venetia Bridges --Sir Tristrem, a few fragments and the northern identity of the Auchinleck Manuscript /Ann Higgins --The invention of King Richard /Marisa Libbon --Auchinleck and Chaucer /Helen Phillips --Endings in the Auchinleck Manuscript /Siobhain Bly Calkin --Paraphs, piecework and presentation: the production methods of Auchinleck Revisited /Timothy A. Shonk --Scribal corrections in the Auchinleck Manuscript /Miceal F. Vaughan --Auchinleck 'Scribe 6' and some corollary Issues /Ralph Hanna."			"English poetry--Middle English, 1100-1500--History and criticism.;Manuscripts, English (Middle)--Scotland--Edinburgh--History.;Manuscripts, Medieval--Scotland--Edinburgh--History."	"Fein, Susanna,1950-editor."		
